symbol,security,gics_sector,marketcap,Consecutive_Revenue_Growth_Years,Consecutive_EPS_Growth_Years,Consecutive_Profitable_Years,Consecutive_Positive_FCF_Years,Consecutive_ROE_Above_15pct_Years,CPI,Core_CPI,Unemployment_Rate,NFP,Real_GDP,Consumer_Sentiment,Growth_Score,Inflation_Score,Labor_Heat_Score,Macro_Regime_Score,Investment_Signal,Market_Regime,latest_price,total_return_10y,cagr_10y,volatility,momentum_12m,symbol_1,ai_fin_score,ai_price_score,ai_envi_score,ai_comment,final_score
APD,Air Products,Materials,57112204036.0,6,0,9,0,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,256.7799987792969,1.0444809131606716,0.07414412709670515,0.25626195994178896,-0.2319564230180301,APD,4.0,2.0,8.0,"APD, a Materials company, exhibits concerning financial health with a history of exceptional growth, but significantly diminished future prospects due to a volatile macroeconomic environment and a worrying lack of growth. The extreme inflation and economic downturn pose significant risks, suggesting a potential for substantial losses.  The SELL signal highlights a high level of uncertainty and warrants careful consideration before investing.",1.9500000000000002
ABNB,Airbnb,Consumer Discretionary,70425047584.0,2,0,3,4,1,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,119.61000061035156,-0.17345038310408945,-0.0375488409946384,0.47233058406354483,-0.1212254788480629,ABNB,7.0,2.0,6.0,"ABNB exhibits exceptionally strong financial health with consistent growth, robust cash flow, and a high ROE, but is currently facing a challenging macroeconomic environment characterized by high inflation and a weakening labor market.  The negative momentum in price suggests potential risks, warranting cautious consideration of a SELL signal.",2.55
AKAM,Akamai Technologies,Information Technology,12709055037.0,5,5,10,7,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,86.63500213623047,0.5806422179446946,0.046853911277211946,0.3245121474724087,-0.07854706201354189,AKAM,7.0,3.0,6.0,"AKAM exhibits exceptionally strong financial health with a consistent history of robust growth, impressive profitability, and a favorable macroeconomic environment. However, the current bearish market sentiment and volatility warrant caution, suggesting potential for further decline. The high growth rate and strong fundamentals are currently overshadowed by the significant macroeconomic headwinds.",2.7249999999999996
ALB,Albemarle Corporation,Materials,13638790935.0,5,0,0,0,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,127.55999755859375,1.4145370648768565,0.09216594116308596,0.47040754918533134,0.18440112509841344,ALB,4.0,1.0,4.0,"ALB faces significant headwinds due to a severe macroeconomic environment characterized by hyperinflation, a rapidly cooling economy, and a significant decline in consumer confidence. The company's financial performance is severely impacted by a lack of growth and profitability, compounded by a volatile market and a concerning lack of momentum.  The SELL signal suggests a high risk of further losses.",1.475
ARE,Alexandria Real Estate Equities,Real Estate,8852099522.0,0,3,0,1,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,53.42499923706055,-0.40200356584968777,-0.05012424616248368,0.27673722266052864,-0.5153316011062241,ARE,3.0,1.0,4.0,"The Alexandria Real Estate Equities (ARE) presents a concerning investment profile given the severe macroeconomic headwinds.  The company's financial performance is exceptionally weak, with a significant decline in revenue, earnings, and cash flow, exacerbated by a rapidly increasing inflation rate and a weak labor market.  The bearish market environment and the lack of growth indicators suggest a high risk of further losses.  The SELL recommendation reflects the significant downside risk associated with this investment.",1.225
ALGN,Align Technology,Health Care,10305451782.0,0,0,9,8,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,147.77499389648438,1.2451381735285048,0.08424921484402059,0.48771125223431244,-0.3651458900025992,ALGN,4.0,2.0,8.0,"Align Technology faces significant headwinds due to a hyper-inflationary environment and a bearish macroeconomic outlook. The company's strong financial performance over a long period is undermined by a lack of recent growth and a volatile price, suggesting a potential risk.  The combination of high inflation and a struggling economy warrants caution.",1.9500000000000002
ALLE,Allegion,Industrials,13962125652.0,4,5,9,0,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,164.19000244140625,1.4839637856525596,0.09526683163511995,0.2662115489264443,0.16579101612226976,ALLE,7.0,3.0,6.0,"ALLE exhibits exceptionally strong financial performance, driven by consistent growth and profitability, but faces significant headwinds from a rapidly inflationary environment and a bearish macroeconomic outlook.  The SELL signal suggests a potential risk, warranting careful monitoring of the company's resilience against these pressures.",2.7249999999999996
LNT,Alliant Energy,Utilities,17585042864.0,4,2,10,0,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,67.06999969482422,1.2586294118236476,0.08489908385590916,0.21261239237026028,0.06123415957542422,LNT,7.0,3.0,6.0,"LNT, a utility company, exhibits exceptionally strong financial performance over a long period, demonstrating robust growth and profitability. However, the current macroeconomic environment – characterized by high inflation and a significant labor market downturn – presents considerable risk, warranting a cautious investment approach due to the bearish market regime.",2.7249999999999996
ALL,Allstate,Financials,55573344328.0,7,4,8,8,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,210.22999572753906,2.3492113142327833,0.12849968456749594,0.24664458456233385,0.013693988843477278,ALL,7.0,2.0,6.0,"Allstate demonstrates exceptionally strong financial health with a consistent history of robust growth, high profitability, and a favorable macroeconomic environment. However, the current market conditions – characterized by significant inflation and a bear market – warrant caution due to the potential for further downward pressure on the stock.  The 1.4% CAGR over 12 months is a positive indicator, but the volatility and SELL signal suggest a heightened risk profile.",2.55
GOOGL,Alphabet Inc. (Class A),Communication Services,3844304860000.0,6,5,8,8,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,314.94500732421875,7.199557630184117,0.23421708250089512,0.28830170495044427,0.864131476845792,GOOGL,7.0,2.0,6.0,"Alphabet (GOOGL) exhibits strong financial health with consistent growth and profitability, but faces significant headwinds from a rapidly inflationary environment and a concerning macroeconomic outlook. The bearish market regime and high volatility suggest a heightened risk, warranting careful consideration before investing.",2.55
GOOG,Alphabet Inc. (Class C),Communication Services,3842977490000.0,7,5,9,9,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,315.29998779296875,7.379620937068999,0.23690138923882564,0.2874717989788403,0.8493751987450722,GOOG,7.0,2.0,6.0,"Alphabet Inc. demonstrates exceptionally strong financial health and consistent growth, bolstered by a robust free cash flow and a high ROE. However, the current macroeconomic environment – characterized by hyperinflation and a significant labor market downturn – presents considerable risk, necessitating a cautious investment approach due to the bear market and volatility.",2.55
MO,Altria,Consumer Staples,96238240076.0,0,0,9,8,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,58.720001220703125,0.028551428687311864,0.002819495992797849,0.2295483079634309,0.016972627532877427,MO,4.0,2.0,8.0,"Altria faces significant headwinds due to a persistently negative macroeconomic environment characterized by hyperinflation, a rising unemployment rate, and a declining consumer confidence. The company's financial health is precarious, with a history of declining profitability and a volatile stock price, suggesting a high risk of further losses in the current market conditions.",1.9500000000000002
AMZN,Amazon,Consumer Discretionary,2418982078969.0,7,6,9,5,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,235.77499389648438,6.077673362746248,0.2161879260468622,0.3289000351426938,0.13413340992209566,AMZN,7.0,2.0,6.0,"AMZN demonstrates exceptionally strong financial health and consistent growth, bolstered by a robust free cash flow and a high ROE. However, the current macroeconomic environment – characterized by high inflation and a slowing GDP – presents significant risks, warranting a cautious investment approach due to the bearish market regime.",2.55
AMCR,Amcor,Materials,19551808700.0,3,0,6,0,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,8.345000267028809,-0.1361283231009145,-0.014528535113191632,0.261159943065979,-0.21569548893240376,AMCR,4.0,1.0,8.0,AMCR เป็นหุ้นที่มีคุณภาพทางการเงินค่อนข้างดี (4) แต่การเติบโตทางเศรษฐกิจ (1) และสภาพแวดล้อมทางเศรษฐกิจมหภาคที่ผันผวน (8) ทำให้มีความเสี่ยงสูง โดยเฉพาะอย่างยิ่งเมื่อพิจารณาจากความผันผวนของราคาหุ้นที่สูง (1) และการขาดแคลนการเติบโตอย่างต่อเนื่อง (1),1.775
AEE,Ameren,Utilities,28345162248.0,5,5,9,2,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,101.95999908447266,1.413254416200536,0.0921079013822168,0.21925352433100387,0.08019917092672846,AEE,7.0,2.0,6.0,"Ameren demonstrates exceptionally strong financial health with a robust track record of consistent growth, high profitability, and a favorable macroeconomic environment. However, the current market conditions – characterized by high inflation and a bear market – warrant caution due to the significant volatility and potential for further decline.  The company's strong fundamentals are currently overshadowed by the challenging macroeconomic backdrop.",2.55
AEP,American Electric Power,Utilities,65323814068.0,5,0,9,2,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,119.6449966430664,1.1872942408463132,0.08142243382660741,0.20994904607354925,0.19812733739022148,AEP,6.0,2.0,8.0,"American Electric Power (AEP) exhibits concerning financial health and a challenging macroeconomic environment. While demonstrating strong historical performance, the current macroeconomic conditions – particularly inflation and a significant labor market downturn – pose significant risks. The company's growth is slowing considerably, and its valuation suggests a potential vulnerability in the face of a bear market.",2.45
AXP,American Express,Financials,245182968852.0,6,5,9,0,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,361.29998779296875,4.1306446632698055,0.17767896170843356,0.31724333783390746,0.1858343064142005,AXP,7.0,3.0,6.0,"American Express exhibits exceptionally strong financial performance, demonstrating robust growth and consistent profitability over a long period. However, the current market environment – characterized by high inflation and a bear market – presents significant risks, warranting cautious investment consideration.",2.7249999999999996
AIG,American International Group,Financials,40527557416.0,0,0,7,5,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,76.56999969482422,0.2278704128510518,0.020743149801614624,0.32387055875501775,-0.004032226452505117,AIG,4.0,1.0,4.0,"AIG faces significant headwinds due to a severe macroeconomic environment characterized by hyperinflation, declining GDP, and a significant drop in consumer confidence. The company's financial performance is severely impacted by a lack of growth and profitability, compounded by a volatile market and a concerning lack of momentum.  The SELL signal suggests a high risk of further losses.",1.475
AMT,American Tower,Real Estate,84065089092.0,7,5,9,7,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,176.2050018310547,0.8000306765727472,0.06055082398671585,0.25942461574824416,-0.15691386683705888,AMT,7.0,2.0,6.0,"AMT exhibits exceptionally strong financial health, demonstrating consistent growth and profitability across multiple years, despite a challenging macroeconomic environment. However, the bearish market regime and significant volatility raise concerns about long-term sustainability.  The high growth rate, coupled with a relatively low risk score, warrants careful consideration before investing.",2.55
AWK,American Water Works,Utilities,25660700033.0,5,6,9,0,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,131.41000366210938,1.288974116205872,0.0863481073359369,0.23682667417418765,-0.04038263970137612,AWK,7.0,3.0,6.0,"AWK faces significant headwinds due to a hyper-inflationary environment and a weak macroeconomic outlook.  Despite strong historical financial performance, the current market conditions suggest a high risk of further decline, necessitating a cautious investment approach.",2.7249999999999996
AMP,Ameriprise Financial,Financials,41440593284.0,6,0,9,4,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,456.1400146484375,3.098292921306739,0.15151257981281296,0.34158018129825496,-0.2052894089743813,AMP,6.0,1.0,6.0,"Ameriprise Financial demonstrates exceptionally strong financial health and consistent performance, but faces significant headwinds due to a rapidly accelerating inflationary environment and a bearish macroeconomic outlook.  The company's high ROE and cash flow generation are notable, but the extreme inflation and potential recessionary pressures necessitate caution, suggesting a potential sell signal.",2.125
AME,Ametek,Industrials,44940400087.0,6,6,10,0,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,196.9969940185547,2.600749356884284,0.1367027399249574,0.24365426010356186,0.013463263041483708,AME,7.0,3.0,6.0,"Ametek exhibits exceptionally strong financial health with a sustained history of robust growth, impressive profitability, and a favorable macroeconomic environment. However, the current bearish market sentiment and volatility warrant caution, suggesting potential downside risk.  The company's performance is currently being negatively impacted by inflationary pressures and a concerning macroeconomic outlook.",2.7249999999999996
AMGN,Amgen,Health Care,180014088315.0,6,4,9,8,6,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,339.7980041503906,1.1972067090919891,0.08191158760110295,0.2476512103494782,0.2012514936751031,AMGN,7.0,3.0,6.0,"AMGN demonstrates exceptionally strong financial health and consistent growth, bolstered by a robust free cash flow and a high ROE. However, the current macroeconomic environment – characterized by significant inflation and a weakening labor market – presents a significant risk, warranting cautious consideration due to the bearish market regime.",2.7249999999999996
APH,Amphenol,Information Technology,168772773443.0,7,6,9,8,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,141.93499755859375,9.588213382018035,0.2661824786103699,0.2574220176779182,0.9536819625259692,APH,7.0,2.0,6.0,"Amphenol demonstrates exceptionally strong financial health with a consistent history of robust growth, impressive profitability, and a favorable macroeconomic environment. However, the current market conditions – a significant inflationary environment and a bearish market – necessitate caution due to the potential for further price declines.  The high volatility suggests increased risk.",2.55
ADI,Analog Devices,Information Technology,117774131378.0,6,0,10,0,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,269.9599914550781,3.5717187966642294,0.16417156708221592,0.3221652503115327,0.2380646075524182,ADI,4.0,2.0,8.0,"ADI presents a concerning picture considering its consistently strong financial performance, despite a volatile macroeconomic environment. The aggressive growth, coupled with a significant negative macro outlook, warrants careful scrutiny.  The high volatility and lack of growth suggest potential risks and requires a cautious approach to investment.",1.9500000000000002
AON,Aon plc,Financials,74088185846.0,0,0,9,8,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,348.42498779296875,2.7193102760239682,0.14039170921536193,0.2300667817715996,-0.11011651379428955,AON,4.0,1.0,8.0,"Aon plc exhibits concerning financial characteristics under a volatile and inflationary macroeconomic environment. While exhibiting strong historical performance, the lack of recent growth and a concerning low ROE, coupled with a significant negative momentum, warrants careful consideration. The bearish market regime and high volatility suggest potential risks.",1.775
APA,APA Corporation,Energy,8657476417.0,0,0,6,7,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,25.2450008392334,-0.448317269116815,-0.05775161359008374,0.5883328303347033,0.11456959224759178,APA,4.0,1.0,4.0,"APA Corporation เป็นหุ้นที่มีความน่าสนใจน้อย เนื่องจากสภาพแวดล้อมเศรษฐกิจมหภาคที่รุนแรงอย่างมาก (CPI สูงสุด) และผลการดำเนินงานที่น่าประหลาดใจ (การเติบโตติดต่อกัน, EPS เติบโตติดต่อกัน, ROE > 15%) ซึ่งส่งผลกระทบต่อราคาหุ้นอย่างรุนแรง ทำให้มีความเสี่ยงสูงและควรระวังตัว",1.475
APO,Apollo Global Management,Financials,75512976747.0,5,3,8,0,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,132.27499389648438,7.441288656826112,0.23780877955139745,0.378577927593901,-0.24427244004454451,APO,7.0,3.0,6.0,"Apollo Global Management มีคุณภาพทางการเงินที่ดีอย่างมาก, มีการเติบโตที่แข็งแกร่งและผลตอบแทนที่สูงมากในระยะยาว, แต่สภาพแวดล้อมเศรษฐกิจมหภาคที่ผันผวนและสูงขึ้นทำให้เกิดความเสี่ยงที่ต้องระวังเป็นพิเศษ และราคาปัจจุบันต่ำกว่าค่าเฉลี่ยที่น่าสนใจ",2.7249999999999996
AAPL,Apple Inc.,Information Technology,4077091319760.0,5,4,10,9,6,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,285.2651062011719,8.905038672156829,0.25776426599610636,0.29136593157166285,0.20197658956005138,AAPL,7.0,3.0,6.0,"AAPL demonstrates exceptionally strong financial health with a consistent history of robust growth, high profitability, and a favorable macroeconomic environment. However, the current market conditions suggest a potential bear market risk, necessitating cautious investment consideration.",2.7249999999999996
AMAT,Applied Materials,Information Technology,183952702819.0,6,0,10,9,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,259.8800048828125,12.852878556084233,0.30067751219681016,0.4184517670136621,0.4874935315435778,AMAT,7.0,2.0,6.0,Applied Materials มีคุณภาพทางการเงินที่ดีอย่างมาก (7) ด้วยผลตอบแทนที่สูงและอัตราส่วนที่แข็งแกร่ง (4) แม้ว่าการเติบโตของรายได้จะหยุดชะงัก (0) แต่บริษัทยังคงมี ROE ที่สูงและกำไรที่แข็งแกร่ง (6)  สภาพแวดล้อมเศรษฐกิจมหภาคที่กำลังอ่อนแอ (35.09) และความเชื่อมั่นผู้บริโภคที่ลดลง (58.2) ทำให้เกิดความเสี่ยงที่ต้องระวังอย่างมาก เนื่องจากตลาดปัจจุบันอยู่ในภาวะ Bear Market,2.55
APP,AppLovin,Information Technology,189187209000.0,5,2,3,4,3,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,658.1300048828125,9.094018952259413,0.6471991522974838,0.7724113984675919,0.9543578467195619,APP,7.0,2.0,6.0,"AppLovin demonstrates exceptionally strong financial health, exhibiting robust growth across multiple metrics, particularly in a challenging macroeconomic environment.  Despite a significant inflationary backdrop, the company's profitability and cash flow are remarkably stable, suggesting resilience. However, the SELL signal and bearish market conditions warrant caution, highlighting potential risks to the stock's value.",2.55
APTV,Aptiv,Consumer Discretionary,16173543913.0,4,0,0,4,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,77.5282974243164,0.07710799085085762,0.007456646650285226,0.4043279485631669,0.39615161405732113,APTV,4.0,1.0,4.0,"APTV เป็นหุ้นที่มีความเสี่ยงสูงอย่างมาก เนื่องจากสภาพแวดล้อมเศรษฐกิจมหภาคที่ผันผวนอย่างรุนแรง, การเติบโตทางการเงินที่หยุดนิ่ง, และการขาดความแข็งแกร่งทาง financiero ที่น่ากังวล การลงทุนในหุ้นนี้ควรระมัดระวังอย่างยิ่ง เนื่องจากมีแนวโน้มที่ตลาดจะปรับตัวลงอย่างรวดเร็ว",1.475
ACGL,Arch Capital Group,Financials,33339828740.0,0,4,9,7,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,92.62000274658203,2.8415595355404464,0.14408623219958505,0.27409808289127185,-0.0804209528986396,ACGL,6.0,2.0,6.0,"Arch Capital Group (ACGL) exhibits concerning financial health with a history of exceptional growth, but is currently facing a challenging macroeconomic environment characterized by high inflation and a significant labor market downturn.  The company's ROE and Free Cash Flow are robust, but the volatile market and SELL signal suggest potential risks.  The negative momentum in the 12-month timeframe warrants careful monitoring.",2.3
ADM,Archer Daniels Midland,Consumer Staples,28185414958.0,0,0,10,7,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,60.23500061035156,0.6915192243170503,0.0539762365210974,0.27255017435690887,0.10320517021445164,ADM,4.0,2.0,8.0,"Archer Daniels Midland (ADM) exhibits concerning financial health with a prolonged period of profitability and strong cash flow, but faces significant headwinds from a rapidly rising inflation environment and a weakening consumer confidence. The bearish macro environment and a SELL signal suggest a high risk of further decline, necessitating careful consideration of investment strategy.",1.9500000000000002
ANET,Arista Networks,Information Technology,153846857002.0,8,0,9,7,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,127.4800033569336,26.116192775991973,0.3910492095279494,0.44390162876664996,0.25651767834193495,ANET,6.0,2.0,8.0,"Arista Networks (ANET) exhibits concerning financial health with a strong historical track record, but faces significant headwinds due to a rapidly accelerating inflation environment and a bearish macroeconomic outlook.  The company's high growth rate is increasingly unsustainable given the current economic climate, and its price performance is currently weak, suggesting potential for further decline.",2.45
AJG,Arthur J. Gallagher & Co.,Financials,63740328000.0,5,0,9,0,0,323.36,329.79,4.3,159507.0,23770.98,58.2,1.55,17.08,51.95,35.09,SELL - ระวังตัว,Bear Market,245.39999389648438,4.712290482454435,0.19039581121557125,0.2241761447060655,-0.21406609796432186,AJG,4.0,1.0,8.0,"AJG, facing significant macroeconomic headwinds – high inflation, declining GDP, and a concerning labor market – presents a high risk profile.  The company's historical financial performance, while strong, is increasingly unsustainable in the current environment.  The SELL signal highlights a potential significant downturn, demanding careful consideration of the risks involved.",1.775
